address-scope-create,address scope create,Create an address scope for a given tenant.
address-scope-delete,address scope delete,Delete an address scope.
address-scope-list,address scope list,List address scopes that belong to a given tenant.
address-scope-show,address scope show,Show information about an address scope.
address-scope-update,address scope set,Update an address scope.
agent-delete,network agent delete,Delete a given agent.
agent-list,network agent list,List agents.
agent-show,network agent show,Show information of a given agent.
agent-update,network agent set,Updates the admin status and description for a specified agent.
auto-allocated-topology-delete,network auto allocated topology delete,Delete the auto-allocated topology of a given tenant.
auto-allocated-topology-show,network auto allocated topology create,Show the auto-allocated topology of a given tenant.
availability-zone-list,availability zone list,List availability zones.
bash-completion,complete,Prints all of the commands and options for bash-completion.
bgp-dragent-list-hosting-speaker,bgp speaker show dragents,List Dynamic Routing agents hosting a BGP speaker.
bgp-dragent-speaker-add,bgp dragent add speaker,Add a BGP speaker to a Dynamic Routing agent.
bgp-dragent-speaker-remove,bgp dragent remove speaker,Removes a BGP speaker from a Dynamic Routing agent.
bgp-peer-create,bgp peer create,Create a BGP Peer.
bgp-peer-delete,bgp peer delete,Delete a BGP peer.
bgp-peer-list,bgp peer list,List BGP peers.
bgp-peer-show,bgp peer show,Show information of a given BGP peer.
bgp-peer-update,bgp peer set,Update BGP Peer's information.
bgp-speaker-advertiseroute-list,bgp speaker list advertised routes,List routes advertised by a given BGP speaker.
bgp-speaker-create,bgp speaker create,Create a BGP Speaker.
bgp-speaker-delete,bgp speaker delete,Delete a BGP speaker.
bgp-speaker-list,bgp speaker list,List BGP speakers.
bgp-speaker-list-on-dragent,bgp speaker list --agent,List BGP speakers hosted by a Dynamic Routing agent.
bgp-speaker-network-add,bgp speaker add network,Add a network to the BGP speaker.
bgp-speaker-network-remove,bgp speaker remove network,Remove a network from the BGP speaker.
bgp-speaker-peer-add,bgp speaker add peer,Add a peer to the BGP speaker.
bgp-speaker-peer-remove,bgp speaker remove peer,Remove a peer from the BGP speaker.
bgp-speaker-show,bgp speaker show,Show information of a given BGP speaker.
bgp-speaker-update,bgp speaker set,Update BGP Speaker's information.
dhcp-agent-list-hosting-net,network agent list --network,List DHCP agents hosting a network.
dhcp-agent-network-add,network agent add network,Add a network to a DHCP agent.
dhcp-agent-network-remove,network agent remove network,Remove a network from a DHCP agent.
ext-list,extension list,List all extensions.
ext-show,extension show,Show information of a given resource.
firewall-create,,Create a firewall.
firewall-delete,,Delete a given firewall.
firewall-list,,List firewalls that belong to a given tenant.
firewall-policy-create,,Create a firewall policy.
firewall-policy-delete,,Delete a given firewall policy.
firewall-policy-insert-rule,,Insert a rule into a given firewall policy.
firewall-policy-list,,List firewall policies that belong to a given tenant.
firewall-policy-remove-rule,,Remove a rule from a given firewall policy.
firewall-policy-show,,Show information of a given firewall policy.
firewall-policy-update,,Update a given firewall policy.
firewall-rule-create,,Create a firewall rule.
firewall-rule-delete,,Delete a given firewall rule.
